date,price,volume,market_cap,pct_change_1d,pct_change_3d,pct_change_5d,volatility_3d,volatility_5d,volume_spike_3d,momentum,will_price_go_up_3d,coin
2025-01-13,94454.77089638807,19608932595.53299,1870314882306.9236,-0.0011080929848023002,0.0225003129353174,-0.025758369344515697,0.015616243274933848,0.020624945924348246,0.5831420919291016,-0.008608197296574766,1,bitcoin
2025-01-14,94456.3493746993,76328330233.31137,1870609367804.8223,1.6711472552000117e-05,-0.002958490048000084,-0.005897541697507114,0.0009487500894534235,0.018870847563215117,2.0126357750723436,0.0010028748218853616,1,bitcoin
2025-01-15,96574.07768799194,51241728228.81719,1912603332624.1123,0.022420179557139264,0.021304310142379546,0.04544242413897481,0.013271273338130777,0.01373921240100378,1.0444777721449752,0.01531874284301275,1,bitcoin
2025-01-16,100313.15239828422,57637319739.543396,1986831430651.8647,0.03871716717163309,0.06202314024267208,0.058863460183867344,0.019430356227823093,0.018231130312836772,0.933612693498348,0.0180427870907424,1,bitcoin
2025-01-17,100044.57926776377,50150102497.2729,1980935754458.284,-0.0026773471284613493,0.05916203548050003,0.058006066003079004,0.02085259162623087,0.018383743864392517,0.9460549028357622,-0.02239802562196136,1,bitcoin
2025-01-18,104160.69358484233,69135117732.00064,2063854663834.0774,0.041142802010911694,0.07855747710437333,0.10275735779509909,0.02462923394772677,0.02071697753045525,1.1722946846261515,0.014956976309453918,0,bitcoin
2025-01-19,104334.61575724394,49416447749.13053,2067151195362.0425,0.001669748601087706,0.040089093631439976,0.10458022618848517,0.024142716836117045,0.02032943681718554,0.8787663158515385,-0.011693282609392286,1,bitcoin
2025-01-20,101275.33714814208,72970313683.92325,2014842808849.5005,-0.029321798780760466,0.012302094620081805,0.048680345416694415,0.03531727131623158,0.02987816013763461,1.1430074830412003,-0.0334224969874544,1,bitcoin
2025-01-21,101764.90860170545,120158523166.88387,2017837068202.1384,0.004834063922663168,-0.023000854743593258,0.0144722418617369,0.018872872319773453,0.025183594899344512,1.486219656239585,0.012501015503860919,1,bitcoin
2025-01-22,106182.2368201815,95344290057.8965,2098829000928.49,0.04340718504219265,0.017708610412065173,0.061349226488230046,0.03638684221399359,0.030416566227456785,0.9915407831531343,0.0375043149048376,0,bitcoin
